date,pm2_5_mean,pm10_mean,carbon_monoxide_mean,dust_mean,temperature_mean,humidity_mean,wind_speed_mean,precipitation_sum,pressure_mean,wind_direction_mean_deg,location,exceeds_pcd_moderate,consecutive_bad_days,target_next_day_pm2_5,target_next_day_exceeds
2023-07-05,6.520833333333333,9.316666666666666,160.41666666666666,0.0,26.15833333333333,83.54166666666667,5.370833333333334,4.6,962.5916666666667,193.26583797633708,chiang_rai,False,0,5.945833333333333,False
2023-07-06,5.945833333333333,8.408333333333333,159.45833333333334,0.08333333333333333,26.416666666666668,84.20833333333333,3.9375,4.8,963.5208333333334,221.61933776616695,chiang_rai,False,0,7.566666666666666,False
2023-07-07,7.566666666666666,10.820833333333333,169.04166666666666,0.375,27.920833333333334,78.58333333333333,3.795833333333333,0.5,963.3083333333334,245.97082053220726,chiang_rai,False,0,10.554166666666667,False
2023-07-08,10.554166666666667,15.266666666666666,177.0,0.125,27.825,82.08333333333333,3.9,8.9,963.4958333333334,216.17449277869628,chiang_rai,False,0,9.170833333333333,False
2023-07-09,9.170833333333333,12.862499999999999,183.08333333333334,0.0,26.22083333333333,85.0,2.9625,5.6000000000000005,963.3916666666668,209.0338917128907,chiang_rai,False,0,9.512500000000001,False
2023-07-10,9.512500000000001,13.483333333333334,181.875,0.0,25.65833333333333,86.875,4.033333333333333,11.4,963.8083333333334,159.714880785756,chiang_rai,False,0,9.695833333333333,False
2023-07-11,9.695833333333333,13.770833333333334,184.66666666666666,0.125,26.241666666666664,83.33333333333333,4.05,4.3999999999999995,963.4166666666666,213.082138386616,chiang_rai,False,0,8.154166666666667,False
2023-07-12,8.154166666666667,11.525,172.66666666666666,0.0,26.4375,80.75,4.716666666666667,1.1,963.6458333333334,231.455289870698,chiang_rai,False,0,7.1625000000000005,False
2023-07-13,7.1625000000000005,10.220833333333333,174.58333333333334,0.0,26.891666666666666,80.54166666666667,3.4625,3.2,963.0791666666668,267.53004423415,chiang_rai,False,0,6.7375,False
2023-07-14,6.7375,9.5625,163.66666666666666,0.4583333333333333,27.954166666666666,71.70833333333333,3.9625,0.5,961.7291666666666,248.7975695393807,chiang_rai,False,0,9.454166666666667,False
2023-07-15,9.454166666666667,12.887500000000001,173.95833333333334,0.4166666666666667,26.820833333333336,79.29166666666667,5.329166666666667,9.8,960.775,274.0216243702084,chiang_rai,False,0,8.608333333333333,False
2023-07-16,8.608333333333333,12.325000000000001,183.04166666666666,1.2916666666666667,27.108333333333334,82.33333333333333,3.595833333333333,11.4,959.7458333333334,198.06886350287715,chiang_rai,False,0,13.670833333333334,False
2023-07-17,13.670833333333334,20.05,219.83333333333334,2.9166666666666665,27.675,81.29166666666667,3.2458333333333336,2.6,958.1833333333334,167.95209909178823,chiang_rai,False,0,15.020833333333334,False
2023-07-18,15.020833333333334,22.291666666666668,251.29166666666666,3.0416666666666665,28.954166666666666,74.58333333333333,3.6833333333333336,0.0,957.4041666666667,271.70186462739593,chiang_rai,False,0,15.004166666666668,False
2023-07-19,15.004166666666668,21.770833333333332,223.33333333333334,1.7916666666666667,26.704166666666666,82.79166666666667,4.6375,19.2,958.1999999999999,257.05629253560994,chiang_rai,False,0,11.970833333333333,False
2023-07-20,11.970833333333333,17.191666666666666,181.91666666666666,1.0833333333333333,26.125,84.54166666666667,3.545833333333333,4.1,960.7541666666666,105.5081552763935,chiang_rai,False,0,9.3125,False
2023-07-21,9.3125,13.170833333333334,175.75,0.375,26.625,83.5,4.125,1.9000000000000001,963.3708333333334,15.689686101803545,chiang_rai,False,0,7.166666666666667,False
2023-07-22,7.166666666666667,10.233333333333333,203.04166666666666,0.0,27.912499999999998,79.54166666666667,3.8666666666666667,2.2,964.3625000000001,325.20501325525237,chiang_rai,False,0,6.379166666666666,False
2023-07-23,6.379166666666666,9.145833333333334,191.375,0.0,28.454166666666666,73.91666666666667,4.333333333333333,5.1,963.9666666666667,173.05265740390666,chiang_rai,False,0,7.920833333333333,False
2023-07-24,7.920833333333333,11.358333333333334,195.41666666666666,0.0,27.59166666666667,76.33333333333333,4.1125,8.2,962.5541666666667,117.52054568943811,chiang_rai,False,0,12.1,False
2023-07-25,12.1,17.320833333333333,204.04166666666666,0.0,27.34583333333333,79.0,3.470833333333333,0.8,962.6041666666666,227.37767113514874,chiang_rai,False,0,10.983333333333334,False
2023-07-26,10.983333333333334,15.700000000000001,208.875,0.0,28.504166666666666,73.625,3.1916666666666664,0.2,962.0166666666668,248.52305641028866,chiang_rai,False,0,5.454166666666667,False
2023-07-27,5.454166666666667,7.754166666666666,150.20833333333334,0.0,29.349999999999998,64.25,7.104166666666667,0.7,960.0875,267.68993115067644,chiang_rai,False,0,4.608333333333333,False
2023-07-28,4.608333333333333,6.683333333333334,143.20833333333334,0.25,29.025000000000002,66.875,6.3875,1.0,957.6583333333333,274.4375182765604,chiang_rai,False,0,6.779166666666666,False
2023-07-29,6.779166666666666,9.679166666666667,171.04166666666666,0.0,26.825,85.45833333333333,4.066666666666666,21.4,957.7541666666666,204.73092522205377,chiang_rai,False,0,6.316666666666666,False
2023-07-30,6.316666666666666,8.958333333333334,184.20833333333334,0.0,25.183333333333334,94.5,4.254166666666666,38.8,958.2833333333333,177.54812110954492,chiang_rai,False,0,5.4125000000000005,False
2023-07-31,5.4125000000000005,7.691666666666666,155.58333333333334,0.0,25.058333333333334,90.16666666666667,6.4375,23.8,960.1208333333334,181.784868453092,chiang_rai,False,0,5.3125,False
2023-08-01,5.3125,7.604166666666667,161.66666666666666,0.0,25.15416666666667,91.08333333333333,5.0125,18.3,960.8833333333333,194.3503761054252,chiang_rai,False,0,6.9875,False
2023-08-02,6.9875,9.958333333333334,184.625,0.20833333333333334,25.745833333333334,90.25,3.9333333333333336,11.0,960.7416666666667,198.3757672316783,chiang_rai,False,0,6.266666666666667,False
2023-08-03,6.266666666666667,9.208333333333334,184.625,1.25,25.724999999999998,91.75,3.8083333333333336,28.4,960.0708333333333,201.1871052254002,chiang_rai,False,0,6.870833333333334,False
2023-08-04,6.870833333333334,10.070833333333333,205.33333333333334,1.25,26.041666666666668,89.58333333333333,4.920833333333333,6.6,961.8208333333333,220.0730197035619,chiang_rai,False,0,6.8,False
2023-08-05,6.8,9.841666666666667,200.29166666666666,1.5,25.229166666666668,91.79166666666667,7.1000000000000005,10.9,962.5375,196.4631305389841,chiang_rai,False,0,7.375,False
2023-08-06,7.375,10.579166666666667,202.33333333333334,1.3333333333333333,24.416666666666668,95.0,5.979166666666667,31.0,960.7208333333333,196.39237571465893,chiang_rai,False,0,4.604166666666667,False
2023-08-07,4.604166666666667,6.533333333333334,193.91666666666666,0.5,24.579166666666666,92.83333333333333,7.2875000000000005,22.2,959.3708333333334,185.64438689158925,chiang_rai,False,0,4.3999999999999995,False
2023-08-08,4.3999999999999995,6.2625,189.79166666666666,0.125,24.354166666666668,92.375,8.229166666666666,18.4,960.6791666666667,191.78843306683115,chiang_rai,False,0,5.491666666666667,False
2023-08-09,5.491666666666667,8.4625,191.20833333333334,2.2083333333333335,24.929166666666664,89.16666666666667,5.675,18.2,962.5333333333333,208.63168226053773,chiang_rai,False,0,8.833333333333334,False
2023-08-10,8.833333333333334,12.691666666666668,199.875,1.75,25.6875,87.54166666666667,4.1625000000000005,2.1,962.6333333333333,226.53823682142638,chiang_rai,False,0,12.341666666666667,False
2023-08-11,12.341666666666667,17.787499999999998,205.0,3.2916666666666665,26.354166666666668,83.75,4.166666666666667,0.7,960.9708333333333,242.9264634634103,chiang_rai,False,0,13.25,False
2023-08-12,13.25,19.483333333333334,198.75,5.291666666666667,26.495833333333334,83.95833333333333,4.370833333333334,2.6,959.8708333333334,233.76286677587547,chiang_rai,False,0,15.3125,False
2023-08-13,15.3125,23.083333333333332,213.33333333333334,6.708333333333333,26.241666666666664,85.0,4.083333333333333,3.0,960.1750000000001,241.13737679862493,chiang_rai,False,0,17.545833333333334,False
2023-08-14,17.545833333333334,25.954166666666666,203.70833333333334,6.916666666666667,26.666666666666668,84.08333333333333,3.6166666666666667,23.3,960.3708333333334,239.69587818489282,chiang_rai,False,0,13.133333333333333,False
2023-08-15,13.133333333333333,18.383333333333333,196.95833333333334,2.375,25.583333333333332,89.83333333333333,3.65,10.5,961.2666666666668,179.95753458627553,chiang_rai,False,0,11.174999999999999,False
2023-08-16,11.174999999999999,15.695833333333333,196.375,1.625,25.183333333333334,90.5,2.9875000000000003,14.9,962.2666666666668,154.86218359347117,chiang_rai,False,0,10.4625,False
2023-08-17,10.4625,14.825000000000001,184.70833333333334,0.6666666666666666,25.9875,86.29166666666667,4.204166666666667,1.5,962.7875,189.06437905977748,chiang_rai,False,0,10.879166666666668,False
2023-08-18,10.879166666666668,15.333333333333334,206.16666666666666,0.625,26.925,83.58333333333333,3.641666666666667,0.0,961.8874999999999,251.02670649836955,chiang_rai,False,0,14.141666666666666,False
2023-08-19,14.141666666666666,19.870833333333334,210.79166666666666,1.8333333333333333,27.204166666666666,79.91666666666667,4.120833333333334,0.4,961.7166666666667,281.3310661350028,chiang_rai,False,0,19.095833333333335,False
2023-08-20,19.095833333333335,26.40833333333333,215.41666666666666,2.0,27.191666666666666,80.41666666666667,3.8625000000000003,0.0,961.2458333333334,265.4871239562403,chiang_rai,False,0,12.008333333333333,False
2023-08-21,12.008333333333333,16.595833333333335,215.29166666666666,0.25,26.1125,86.375,3.845833333333333,6.2,962.1416666666668,221.1180836789915,chiang_rai,False,0,11.8375,False
